,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
1,Alisson,br BRA,GK,Liverpool,32,1992,26,26,2340,26.0,31,1.19,88,57,64.8,13,8,5,8,30.8,2,2,0,0,0.0,Matches,7a2e46a8
2,Alphonse Areola,fr FRA,GK,West Ham,32,1993,20,20,1800,20.0,37,1.85,113,76,67.3,4,5,11,0,0.0,6,5,0,1,0.0,Matches,2f965a72
3,Kepa Arrizabalaga,es ESP,GK,Arsenal,30,1994,1,1,90,1.0,1,1.00,3,2,66.7,1,0,0,0,0.0,0,0,0,0,,Matches,28d596a0
4,Altay Bayındır,tr TUR,GK,Manchester Utd,27,1998,6,6,540,6.0,11,1.83,24,13,54.2,2,1,3,0,0.0,0,0,0,0,,Matches,072e68ed
5,Walter Benítez,ar ARG,GK,Crystal Palace,32,1993,1,1,90,1.0,0,0.00,3,3,100.0,0,1,0,1,100.0,1,0,0,1,,Matches,8a2248b4
6,Daniel Bentley,eng ENG,GK,Wolves,32,1993,3,3,270,3.0,7,2.33,14,7,50.0,0,1,2,0,0.0,1,1,0,0,0.0,Matches,68db6358
7,Marco Bizot,nl NED,GK,Aston Villa,34,1991,7,6,585,6.5,10,1.54,29,19,65.5,3,2,1,2,33.3,1,1,0,0,0.0,Matches,3d214e5f
8,Karl Darlow,wls WAL,GK,Leeds United,34,1990,22,22,1980,22.0,27,1.23,90,63,70.0,7,8,7,5,22.7,2,2,0,0,0.0,Matches,cde3309f
9,Gianluigi Donnarumma,it ITA,GK,Manchester City,26,1999,34,34,3060,34.0,29,0.85,106,75,72.6,22,9,3,15,44.1,1,0,1,0,100.0,Matches,08f5afaa
10,Martin Dúbravka,sk SVK,GK,Burnley,36,1989,35,35,3150,35.0,71,2.03,198,127,64.1,4,8,23,4,11.4,7,6,0,1,0.0,Matches,3a949a25
11,Melker Ellborg,se SWE,GK,Sunderland,22,2003,3,3,270,3.0,2,0.67,12,10,83.3,2,0,1,1,33.3,0,0,0,0,,Matches,013d348e
12,Angus Gunn,sct SCO,GK,Nottingham,29,1996,1,0,45,0.5,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Matches,e082af5b
13,Dean Henderson,eng ENG,GK,Crystal Palace,28,1997,37,37,3330,37.0,51,1.38,156,104,67.3,11,11,15,11,29.7,6,5,1,0,16.7,Matches,e5a76dfe
14,Mads Hermansen,dk DEN,GK,West Ham,25,2000,18,18,1620,18.0,28,1.56,82,53,65.9,6,4,8,7,38.9,1,1,0,0,0.0,Matches,c924b17d
15,John,br BRA,GK,Nottingham,29,1996,5,5,437,4.9,8,1.65,14,6,42.9,1,0,4,1,20.0,1,1,0,0,0.0,Matches,33a235af
16,Sam Johnstone,eng ENG,GK,Wolves,32,1993,12,12,1080,12.0,24,2.00,63,39,61.9,0,2,10,0,0.0,1,1,0,0,0.0,Matches,9e5708be
17,Filip Jørgensen,dk DEN,GK,Chelsea,23,2002,5,3,379,4.2,5,1.19,13,8,61.5,1,2,0,0,0.0,0,0,0,0,,Matches,0107757e
18,Caoimhín Kelleher,ie IRL,GK,Brentford,26,1998,37,37,3330,37.0,49,1.32,154,105,68.2,13,11,13,10,27.0,8,5,3,0,37.5,Matches,62d7ef38
19,Antonín Kinský,cz CZE,GK,Tottenham,22,2003,7,7,630,7.0,7,1.00,17,10,58.8,3,2,2,2,28.6,1,1,0,0,0.0,Matches,b38ac6a4
20,Senne Lammens,be BEL,GK,Manchester Utd,23,2002,32,32,2880,32.0,39,1.22,118,78,66.9,18,10,4,8,25.0,4,4,0,0,0.0,Matches,8e6d2fcd
21,Bernd Leno,de GER,GK,Fulham,33,1992,38,38,3420,38.0,51,1.34,149,98,65.8,15,7,16,9,23.7,4,3,0,1,0.0,Matches,2628fd2b
22,Giorgi Mamardashvili,ge GEO,GK,Liverpool,24,2000,10,10,867,9.6,18,1.87,51,33,64.7,3,1,6,2,20.0,2,1,1,0,50.0,Matches,d4b73232
23,Emiliano Martínez,ar ARG,GK,Aston Villa,32,1992,32,32,2835,31.5,39,1.24,134,95,70.9,16,6,10,8,25.0,1,0,1,0,100.0,Matches,7956236f
